,ds,yhat,yhat_lower,yhat_upper,y,cutoff
1261,2018-02-23 13:00:00,34679.231172032785,0.5731301183884978,0.8696984442306872,36482.0,2018-02-22 23:00:00
1262,2018-02-23 14:00:00,34264.29821355719,0.5465514651356944,0.8447465485575922,35130.0,2018-02-22 23:00:00
1263,2018-02-23 15:00:00,33573.61916475179,0.513041460411418,0.8257008543818266,34263.0,2018-02-22 23:00:00
1264,2018-02-23 16:00:00,32924.44330416401,0.4809394230065729,0.8041430843019093,33920.0,2018-02-22 23:00:00
1265,2018-02-23 17:00:00,32775.89513332476,0.47847369150369823,0.764347069760192,33565.0,2018-02-22 23:00:00
1266,2018-02-23 18:00:00,33330.27123043559,0.5015839327967488,0.7982245888180559,33585.0,2018-02-22 23:00:00
1267,2018-02-23 19:00:00,34253.40395367884,0.5324380975556398,0.8524257870980636,36206.0,2018-02-22 23:00:00
1268,2018-02-23 20:00:00,34815.98416554429,0.565857928341979,0.8788558326048707,36996.0,2018-02-22 23:00:00
1269,2018-02-23 21:00:00,34383.97129092476,0.5514497483812381,0.8498107188303159,36458.0,2018-02-22 23:00:00
1270,2018-02-23 22:00:00,32859.04559206881,0.4728718959477777,0.7802082343891905,34013.0,2018-02-22 23:00:00
1271,2018-02-23 23:00:00,30706.572526172742,0.3844051575268084,0.6937222936073465,31344.0,2018-02-22 23:00:00
1272,2018-02-24 00:00:00,28706.914229972455,0.3043528374228371,0.6031238350388585,29231.0,2018-02-23 23:00:00
1273,2018-02-24 01:00:00,27010.85411285946,0.2253972998845564,0.519053702820173,27063.0,2018-02-23 23:00:00
1274,2018-02-24 02:00:00,25805.544014409155,0.1773466869851491,0.4744715065892466,25562.000000000004,2018-02-23 23:00:00
1275,2018-02-24 03:00:00,25024.58533151497,0.12349146099553789,0.44657411357846744,24869.000000000004,2018-02-23 23:00:00
1276,2018-02-24 04:00:00,24753.277062357836,0.11455690604534785,0.4204897742439426,24426.0,2018-02-23 23:00:00
1277,2018-02-24 05:00:00,25232.07995895488,0.1516843797810004,0.44427342198756836,24397.0,2018-02-23 23:00:00
1278,2018-02-24 06:00:00,26582.479010869945,0.20216247975608204,0.5107711870219801,25104.0,2018-02-23 23:00:00
1279,2018-02-24 07:00:00,28551.95786778888,0.28613373525530617,0.5874532504187535,26578.0,2018-02-23 23:00:00
1280,2018-02-24 08:00:00,30567.436953652876,0.3765679008734618,0.6754056697248267,28282.0,2018-02-23 23:00:00
1281,2018-02-24 09:00:00,32079.429767304977,0.4343617200537482,0.7595979665372716,31232.999999999996,2018-02-23 23:00:00
1282,2018-02-24 10:00:00,32886.914122086244,0.5010865598090933,0.7821531096254131,33068.0,2018-02-23 23:00:00
1283,2018-02-24 11:00:00,33152.36754032894,0.49400337130580324,0.7979210754624682,33079.0,2018-02-23 23:00:00
