,ds,yhat,yhat_lower,yhat_upper,y,cutoff
4,2017-12-22 04:00:00,23496.741092873053,0.09839702747402683,0.35728660504828696,24220.0,2017-12-21 23:00:00
5,2017-12-22 05:00:00,23995.5875491128,0.12556815401940016,0.3836620850508773,24856.0,2017-12-21 23:00:00
6,2017-12-22 06:00:00,25493.069965901002,0.20465175521378592,0.4643139759432636,27243.0,2017-12-21 23:00:00
7,2017-12-22 07:00:00,27644.085018289938,0.2956193120762958,0.5574931588915364,31785.0,2017-12-21 23:00:00
8,2017-12-22 08:00:00,29842.7869281176,0.4039533592613185,0.6601618661358498,34940.0,2017-12-21 23:00:00
9,2017-12-22 09:00:00,31316.861092930223,0.46901750631271105,0.731798384636399,36023.0,2017-12-21 23:00:00
10,2017-12-22 10:00:00,31982.255091174833,0.5049978975970434,0.7591268104065481,36343.0,2017-12-21 23:00:00
11,2017-12-22 11:00:00,32230.503222394127,0.5088804940055704,0.7740204154895008,35728.0,2017-12-21 23:00:00
12,2017-12-22 12:00:00,32159.96507172928,0.5118183767680372,0.7672585705640091,34784.0,2017-12-21 23:00:00
13,2017-12-22 13:00:00,31781.16594257321,0.47844056103031446,0.746459647097484,34271.0,2017-12-21 23:00:00
14,2017-12-22 14:00:00,31175.25381991736,0.46872591947078124,0.7230077749933654,33076.0,2017-12-21 23:00:00
15,2017-12-22 15:00:00,30428.022996537322,0.4306581744302409,0.6788868129623797,32243.0,2017-12-21 23:00:00
16,2017-12-22 16:00:00,29932.11700846703,0.3991928681389464,0.669390809961557,32068.999999999996,2017-12-21 23:00:00
17,2017-12-22 17:00:00,30026.97270356646,0.40591754503087785,0.6646190465186642,32575.0,2017-12-21 23:00:00
18,2017-12-22 18:00:00,30756.097428060457,0.4346481090072316,0.7020657546294915,34508.0,2017-12-21 23:00:00
19,2017-12-22 19:00:00,31632.701644693203,0.495148854482788,0.751262587412749,34983.0,2017-12-21 23:00:00
20,2017-12-22 20:00:00,32150.79190670507,0.5021525461402093,0.7631734469490946,35053.0,2017-12-21 23:00:00
21,2017-12-22 21:00:00,31248.437157408098,0.4636719589945366,0.7266325581130743,34367.0,2017-12-21 23:00:00
22,2017-12-22 22:00:00,29417.61903547534,0.3773552072627829,0.637404242845515,32606.0,2017-12-21 23:00:00
23,2017-12-22 23:00:00,26744.835416873477,0.24814154001876546,0.5104974596941716,30032.0,2017-12-21 23:00:00
24,2017-12-23 00:00:00,27892.894222914034,0.3074833725811174,0.5551631484359696,27639.0,2017-12-22 23:00:00
25,2017-12-23 01:00:00,26015.6891670877,0.2307649309852493,0.4763232120735509,25304.999999999996,2017-12-22 23:00:00
26,2017-12-23 02:00:00,24621.160219738445,0.14991141483405718,0.40483774635659625,23589.999999999996,2017-12-22 23:00:00
27,2017-12-23 03:00:00,23838.086069922127,0.11542817933919504,0.3727059457258102,22778.0,2017-12-22 23:00:00
28,2017-12-23 04:00:00,23582.91558449007,0.09313572127876972,0.3559536972898272,22347.0,2017-12-22 23:00:00
29,2017-12-23 05:00:00,24222.209932107617,0.12710118660304684,0.3891885911345331,22246.0,2017-12-22 23:00:00
30,2017-12-23 06:00:00,25989.12043812609,0.21445152896110412,0.4706161568572782,22976.0,2017-12-22 23:00:00
31,2017-12-23 07:00:00,28407.90712069368,0.32747272140449535,0.5907777111448046,24499.999999999996,2017-12-22 23:00:00
32,2017-12-23 08:00:00,30842.56768535628,0.4531987104934189,0.7008374970733232,26142.0,2017-12-22 23:00:00
33,2017-12-23 09:00:00,32331.726248032555,0.5172291669724932,0.7826573773057854,28842.999999999996,2017-12-22 23:00:00
